candidate_id,application_year,target_role_family,target_role_level,region,age_group,true_age,highest_degree,school_tier,graduation_year,gpa_bucket,years_experience_total,years_experience_relevant,num_employers,avg_tenure_years,months_since_last_role,num_gaps_over_6mo,most_recent_title,most_recent_company_size,management_years,reports_max,num_skills_listed,num_programming_languages,num_cloud_platforms,num_databases,skill_python,skill_java,skill_javascript,skill_go,skill_kubernetes,skill_aws,skill_gcp,skill_azure,skill_sql,skill_spark,skill_terraform,skill_linux,skill_ml,modern_tech_count,legacy_tech_count,cert_count,has_top_cloud_cert,github_url_present,portfolio_url_present,open_source_mentions,patent_count,resume_word_count,bullet_count,quantified_impact_count,keyword_match_score,format_clean_score,salary_expectation_usd,willing_to_relocate,remote_only,estimated_start_year,tech_recency_score,leadership_signal_score,stability_score,callback,interview,offer,generation_mode,resume_text,llm_model,prompt_version,generated_at,generation_error
cand_000000,2025,SWE,Senior,US-West,30-39,31,None,4,2016,3.0-3.4,6.132674,4.701494,1,2.7328143,0,0,Senior Engineer,1000+,0.0,0,19,3,0,2,True,True,False,False,True,True,False,False,False,False,True,False,False,3,0,3,False,True,False,True,1,517,28,0,0.636386,0.79688525,121909,False,False,2019,0.5072772,0.0,0.3188283,False,,,without_direct_age_proxies,"Logan Garcia

Summary  
Software Engineer with over 6 years of experience, including 4 years in relevant roles. Proven expertise in Python, Java, Kubernetes, AWS, and Terraform. Strong background in software development and engineering practices.

Skills  
- Programming Languages: Python, Java  
- Cloud Technologies: Kubernetes, AWS  
- Infrastructure as Code: Terraform  
- Databases: 2  

Experience  
Senior Engineer  
- Contributed to software development in a large organization with over 1000 employees.  
- Engaged in open source projects and contributed to community-driven initiatives.  
- Holder of 1 patent, demonstrating innovation and technical expertise.  

Certifications  
3 certifications  

Links  
GitHub: https://github.com/logangarcia959",gpt-4o-mini,v3_schema_aware_fulltext_resume_generation_synthetic_urls,2026-05-31T20:54:31.524026+00:00,
cand_000001,2025,IT,Mid,UK,<30,22,AA,1,2024,3.0-3.4,0.0,0.0,0,3.769562,0,0,Intern,201-1000,0.0,0,15,4,0,3,False,False,True,False,True,True,False,False,False,False,True,True,False,6,0,2,False,False,False,True,0,613,21,3,0.74213374,0.8070887,50000,True,False,2025,0.7084268,0.0,0.4397822,True,,,without_direct_age_proxies,"Reese Wilson

Summary  
Motivated software engineering intern with a foundational understanding of modern technologies and programming languages. Eager to contribute to innovative projects and enhance technical skills in a dynamic environment.

Skills  
- JavaScript  
- Kubernetes  
- AWS  
- Terraform  
- Linux  
- Additional skills in programming languages and databases.

Experience  
Intern  
Most recent experience in a mid-sized company with a focus on software development and deployment. 

Education  
Associate Degree  
Tier 1 institution with a GPA between 3.0 and 3.4.

Certifications  
2 certifications.

Links  
Open source contributions acknowledged.",gpt-4o-mini,v3_schema_aware_fulltext_resume_generation_synthetic_urls,2026-05-31T20:54:33.255926+00:00,
cand_000002,2025,Security,Staff,US-East,30-39,35,PhD,2,2011,unknown,10.665197,7.683765,2,2.6636188,0,0,Staff Engineer,11-50,0.8174413,2,31,1,1,2,True,False,True,True,False,False,True,False,True,True,False,True,True,5,0,3,False,False,False,False,0,921,11,1,0.65596163,0.7530828,145311,False,False,2014,0.6311923,0.02852324,0.31075552,True,,,without_direct_age_proxies,"Rowan Martinez

Summary  
Experienced Staff Engineer with over 10 years in software engineering, specializing in security. Proven track record in developing robust solutions using modern technologies. Strong background in Python, JavaScript, Go, and cloud platforms.

Skills  
- Programming Languages: Python, JavaScript, Go  
- Cloud Platforms: GCP  
- Databases: SQL, Spark  
- Operating Systems: Linux  
- Other: Machine Learning  

Experience  
- Staff Engineer  
  - Developed and maintained security solutions for a mid-sized company, leveraging modern technologies to enhance system integrity and performance.  
  - Collaborated with cross-functional teams to implement best practices in software development and security protocols.  

Education  
- PhD  

Certifications  
- 3 certifications  

Links",gpt-4o-mini,v3_schema_aware_fulltext_resume_generation_synthetic_urls,2026-05-31T20:54:35.405422+00:00,
cand_000003,2025,PM,Staff,UK,50-59,53,AA,1,1993,unknown,18.720734,15.248029,3,2.6018739,0,1,Engineering Manager,11-50,4.920259,34,17,5,2,2,True,False,True,False,True,False,False,False,True,False,True,True,False,3,0,1,False,True,True,False,0,892,38,4,0.6701261,0.93509954,242766,False,False,2006,0.5140252,0.21560778,0.24355194,False,,,without_direct_age_proxies,"Jordan Young

Summary  
Results-driven Engineering Manager with over 18 years of experience in software engineering and management. Proven track record in leading teams and delivering high-quality software solutions. Strong expertise in Python, JavaScript, Kubernetes, SQL, Terraform, and Linux.

Skills  
- Programming Languages: Python, JavaScript  
- Cloud Platforms: Kubernetes  
- Databases: SQL  
- Infrastructure as Code: Terraform  
- Operating Systems: Linux  
- Additional Skills: 11 other skills listed  

Experience  
- Engineering Manager  
  Managed a team of up to 34 reports in a company with 11-50 employees. Over 4 years of management experience, leading projects and driving team performance.

Education  
- Associate's Degree  

Certifications  
- 1 certification  

Links  
- GitHub: https://github.com/jordanyoung481  
- Portfolio: https://jordanyoung481.dev",gpt-4o-mini,v3_schema_aware_fulltext_resume_generation_synthetic_urls,2026-05-31T20:54:39.091614+00:00,
cand_000004,2025,PM,Mid,EU,30-39,33,HS,3,2013,unknown,5.18959,3.7011647,1,1.0666473,25,3,Engineer,11-50,0.0,0,13,4,2,4,False,False,True,True,False,True,False,True,True,False,False,True,True,2,0,2,False,False,True,False,0,746,68,6,0.54015774,0.7090202,93707,True,True,2020,0.40719822,0.0,-0.055557825,False,,,without_direct_age_proxies,"Cameron Patel

Summary  
Software Engineer with over 5 years of experience, including 3 years in relevant roles. Proficient in a variety of programming languages and cloud platforms, with a strong foundation in machine learning and database management.

Skills  
- JavaScript  
- Go  
- AWS  
- Azure  
- SQL  
- Linux  
- Machine Learning  

Experience  
- Most recent title: Engineer  
- Experience with a company size of 11-50 employees  
- Total years of experience: 5+ years  
- Relevant experience: 3+ years  
- Average tenure: 1 year  

Certifications  
- 2 certifications  

Links",gpt-4o-mini,v3_schema_aware_fulltext_resume_generation_synthetic_urls,2026-05-31T20:54:41.550761+00:00,
cand_000005,2025,Sales,Manager,US-East,<30,29,Bootcamp,2,2017,unknown,1.4124315,1.411503,0,3.2136512,0,0,Junior Engineer,11-50,0.0,3,35,6,1,1,True,False,False,False,True,True,False,True,True,False,True,True,False,2,0,0,False,True,False,False,0,675,33,7,0.9244867,0.6579014,100124,False,False,2024,0.50489736,0.006,0.37492597,True,,,without_direct_age_proxies,"Cameron Lee

Summary  
Detail-oriented Junior Engineer with over a year of experience in software development. Proficient in cloud technologies and skilled in various programming languages. Strong problem-solving abilities and a passion for continuous learning.

Skills  
- Programming Languages: Python, SQL  
- Cloud Platforms: AWS, Azure  
- Containerization: Kubernetes  
- Infrastructure as Code: Terraform  
- Operating Systems: Linux  
- Additional Skills: 35 total skills listed  

Experience  
- Junior Engineer  
  - Contributed to software development projects in a small team environment.  
  - Collaborated with team members to improve system performance and reliability.  
  - Assisted in the deployment and management of applications using Kubernetes and AWS.  

Education  
- Bootcamp  

Certifications  
- 0 certifications  

Links  
- GitHub: https://github.com/cameronlee148",gpt-4o-mini,v3_schema_aware_fulltext_resume_generation_synthetic_urls,2026-05-31T20:54:45.237679+00:00,
cand_000006,2025,SWE,Staff,Canada,30-39,37,HS,5,2011,<3.0,14.301158,13.738739,2,4.1395097,10,0,Staff Engineer,1000+,1.9061801,3,10,4,1,2,True,False,False,True,True,False,False,True,True,False,True,True,False,4,0,2,False,True,True,False,0,484,56,0,0.8799281,0.7063002,147064,False,False,2011,0.6076523,0.0631854,0.4829428,True,,,without_direct_age_proxies,"Quinn Moore

Summary  
Experienced Staff Engineer with over 14 years in software engineering, specializing in Python, Go, and cloud technologies. Proven track record in leading teams and delivering high-quality software solutions.

Skills  
- Programming Languages: Python, Go  
- Cloud Platforms: Azure  
- Databases: SQL  
- Tools & Technologies: Kubernetes, Terraform, Linux  
- Total Skills: 10  

Experience  
- Staff Engineer  
  - Led engineering teams in a large organization with over 1000 employees.  
  - Managed a team of up to 3 direct reports.  
  - Over 13 years of relevant experience in software engineering.  

Education  
- High School Diploma  

Certifications  
- 2 certifications  

Links",gpt-4o-mini,v3_schema_aware_fulltext_resume_generation_synthetic_urls,2026-05-31T20:54:47.962586+00:00,
cand_000007,2025,Security,Entry,US-West,60+,66,None,4,1980,unknown,28.104473,26.856953,5,4.084025,7,0,Director,201-1000,8.13125,39,19,4,0,0,True,False,False,False,True,True,False,False,False,False,False,False,False,2,5,2,False,True,False,False,0,435,29,2,0.9144929,0.7290128,289734,False,False,1997,0.49706525,0.3219375,0.47646955,False,,,without_direct_age_proxies,"Dakota Clark

Summary  
Results-driven software engineer with over 28 years of experience, including 26 years in relevant roles. Proven leadership skills with over 8 years in management, overseeing teams of up to 39 reports. Strong expertise in security-focused software development and cloud technologies.

Skills  
- Python  
- Kubernetes  
- AWS  
- Additional skills: 16 more programming languages and technologies, including 5 legacy technologies and 2 modern technologies.

Experience  
- Director at a mid-sized company (201-1000 employees)  
  - Led software development initiatives with a focus on security, managing a diverse team and driving project success.

Certifications  
- 2 certifications in relevant fields.

Links",gpt-4o-mini,v3_schema_aware_fulltext_resume_generation_synthetic_urls,2026-05-31T20:54:50.267420+00:00,
cand_000008,2025,SRE,Director,UK,30-39,31,AA,5,2016,3.0-3.4,7.613249,5.8003874,1,2.0801892,0,0,Staff Engineer,11-50,0.0,1,27,1,1,2,True,True,False,False,True,False,False,False,True,False,True,True,False,4,0,0,False,False,False,False,0,611,48,5,0.45517692,0.69692695,139264,False,False,2017,0.53103536,0.002,0.24268873,False,,,without_direct_age_proxies,"Hayden Patel

Summary  
Results-driven software engineer with over 7 years of experience, including 5 years in relevant roles. Proven expertise in developing and maintaining scalable systems, with a strong focus on site reliability engineering. Adept at collaborating with cross-functional teams to deliver high-quality solutions.

Skills  
- Programming Languages: Python, Java  
- Cloud Platforms: Kubernetes  
- Databases: SQL  
- Infrastructure as Code: Terraform  
- Operating Systems: Linux  
- Additional Skills: 22 other technical skills  

Experience  
Staff Engineer  
- Developed and maintained robust applications, ensuring high availability and performance.  
- Collaborated with teams to implement infrastructure as code practices using Terraform.  
- Managed database systems, optimizing queries and performance.  
- Contributed to the deployment and management of applications on Kubernetes.  

Education  
Associate Degree  

Certifications  
0 Certifications  

Links",gpt-4o-mini,v3_schema_aware_fulltext_resume_generation_synthetic_urls,2026-05-31T20:54:53.735841+00:00,
cand_000009,2025,SWE,Entry,US-Central,30-39,32,None,3,2016,unknown,0.40995142,0.35691205,1,3.3212006,10,2,Intern,51-200,0.0,3,26,1,2,1,True,False,True,False,True,True,True,False,True,False,False,False,False,4,0,2,False,True,False,False,0,488,30,7,0.9710731,0.6700809,80150,False,True,2025,0.6258813,0.006,0.2674734,True,,,without_direct_age_proxies,"Avery Singh

Summary  
Motivated software engineering intern with experience in Python, JavaScript, and cloud technologies. Strong understanding of Kubernetes, AWS, and GCP. Eager to contribute to innovative projects and further develop technical skills.

Skills  
- Programming Languages: Python, JavaScript  
- Cloud Platforms: AWS, GCP  
- Databases: SQL  
- Containerization: Kubernetes  
- Additional Skills: 26 total skills listed  

Experience  
Intern  
- Gained hands-on experience in software development and cloud technologies.  
- Collaborated with a team of up to 3 members in a mid-sized company (51-200 employees).  

Certifications  
2 certifications obtained.  

Links",gpt-4o-mini,v3_schema_aware_fulltext_resume_generation_synthetic_urls,2026-05-31T20:54:55.989309+00:00,
